Year,Road_width,Location_Access,Governmentrate,Inflation_rate,Commercial-rate,Area,Earthen,Pitch,Goreto,Gravelled,paved,Commercial,Residential,Kathmandu,Lalitpur,Places
3.75,4.265091864,20,2.25,0.067,5,4.25,1,0,0,0,0,1,0,1,0,Kathmandu
4.333333333,4.593175853,8,1,0.093,5,4.25,1,0,0,0,0,1,0,0,1,Lalitpur
2.75,0.984251969,2,5,0.0904,10,2.11,0,0,1,0,0,0,1,1,0,Kathmandu
2.916666667,6.456692913,7,6,0.0904,15,1.4,0,1,0,0,0,1,0,1,0,Kathmandu
3.833333333,4.304461942,10,3.5,0.0721,7,3,1,0,0,0,0,0,1,1,0,Kathmandu
4.25,3.280839895,1.05,3,0.093,7,3,1,0,0,0,0,0,1,1,0,Kathmandu
3.916666667,4.304461942,15,3,0.0721,6,3.5,1,0,0,0,0,0,1,0,1,Lalitpur
3.166666667,6.56167979,4,2.1,0.0721,6,3.5,1,0,0,0,0,0,1,1,0,Kathmandu
3.75,2,1.05,1,0.0721,4,5.25,0,0,1,0,0,0,1,0,1,Lalitpur
1.666666667,3.280839895,20,3.3,0.0987,6,3.5,1,0,0,0,0,0,1,1,0,Kathmandu
1.333333333,8.530183727,2,2.1,0.0987,6,3.5,1,0,0,0,0,0,1,1,0,Kathmandu
3,4.304461942,3,3,0.0721,5.5,3.81,1,0,0,0,0,0,1,1,0,Kathmandu
3.166666667,4.304461942,10,3,0.0721,5,4.18,1,0,0,0,0,0,1,1,0,Kathmandu
3.083333333,4.304461942,3.5,1.1875,0.0721,5,4.18,1,0,0,0,0,0,1,0,1,Lalitpur
1.416666667,3.937007874,5,0.03,0.0987,7.945599139,2.630386914,1,0,0,0,0,0,1,0,0,Bhaktapur
0.833333333,1.312335958,6,0.44,0.0831,6.00107778,3.479375,0,0,1,0,0,0,1,1,0,Kathmandu
2,3.280839895,,1.5,0.0904,4.994011976,4.175,1,0,0,0,0,0,1,0,0,Bhaktapur
0.916666667,6.56167979,1.5,3.25,0.0831,7,2.975,1,0,0,0,0,0,1,1,0,Kathmandu
3.083333333,4.304461942,2,5,0.0721,8,2.6,0,1,0,0,0,0,1,1,0,Kathmandu
3.666666667,4.304461942,10,3,0.0721,6.87,3,1,0,0,0,0,0,1,0,1,Lalitpur
2.75,3.280839895,2.5,3,0.0904,10,2.06,1,0,0,0,0,0,1,1,0,Kathmandu
1.5,3.937007874,1,3.3,0.0987,6.507722772,3.15625,1,0,0,0,0,0,1,1,0,Kathmandu
4.416666667,1.312335958,5,1,0.093,2.5,8.14,0,0,1,0,0,0,1,1,0,Kathmandu
5.166666667,4.265091864,35,3,0.067,10,2.03,1,0,0,0,0,0,1,0,1,Lalitpur
2.833333333,4.593175853,3,1.5,0.0904,9,2.25,1,0,0,0,0,0,1,0,0,Bhaktapur
