Date of Valuation,Base date,date(m),Year,Road_width,LocationAccess,Location_Access,Commercialprice,Commercial-price,Latitude,Longitude,Governmentrate,Commercial-rate,Area,Earthen,Pitch,Goreto,Gravelled,paved,Commercial,Residential,Rectangular,Trapezoidal,Irregular,Facilities,Commercial-rate,Government-rate,Location as per cadastralmap,,,Places
05/13/2013,01/01/2012,16,1.333333333,3.937007874,350,3.5,3915000,39.15,27.689326,85.25654,2.2,14.99640891,2.610625,1,0,0,0,0,0,1,,,," TEWS 
    ","15,00,000.00",220000," 102-1102-11, Sitapaila-1, Kathmandu",,,Kathmandu
07/10/2014,01/01/2012,30,2.5,4.304461942,1700,17,3906000,39.06,27.726989,85.304617,2.5,9,4.34,0,0,0,1,0,0,1,1,0,0,1,900000,250000, Balaju-8 kaKathmandu,,,Kathmandu
07/10/2014,01/01/2012,30,2.5,4.304461942,1700,17,3906000,39.06,27.717538,85.304617,2.5,9,4.34,0,0,0,1,0,0,1,1,0,0,1,900000,250000, Balaju-8 kaKathmandu,,,Kathmandu
09/13/2013,01/01/2012,20,1.666666667,1.312335958,300,3,3900000,39,FAILED,FAILED,0.12,2,19.5,0,0,1,0,0,0,1,,,,TEW,"2,00,000.00",12000," Jhor-9ka, Kathmandu",,,Kathmandu
03-Jun-14,01/01/2012,29,2.416666667,3.280839895,1500,15,3892000,38.92,27.750099,85.302692,0.90625,7,5.56,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",700000,90625,"1943,Tikathali-9, Lalitpur",,,Lalitpur
03/06/2016,01/01/2012,50,4.166666667,3.280839895,300,3,3885000,38.85,27.735325,85.30725,7,10.5,3.7,1,0,0,0,0,0,1,1,0,0,1,1050000,700000, 102-0905-22Gongabu-2Kathmandu,,,Kathmandu
15-Dec,01/01/2012,47,3.916666667,4.265091864,250,2.5,3881250,38.8125,27.731133,85.361799,5.5,13.5,2.875,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1350000,550000,"301,Kapan-3, Kathmandu",,,Kathmandu
12/23/2013,01/01/2012,23,1.916666667,3.280839895,1000,10,3880000,38.8,27.725368,85.286056,2.5,9.996779388,3.88125,0,0,0,1,0,0,1,,,," TEWS 
    ","10,00,000.00",250000," 102-1022-16, Ichangunarayan-6, Kathmandu",,,Kathmandu
16-Feb,01/01/2012,49,4.083333333,3.280839895,110,1.1,3875000,38.75,27.731133,85.252772,6.6,20,1.9375,0,0,1,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",2000000,660000,"484,Kapan-1, Kathmandu",,,Kathmandu
03/18/2017,01/01/2012,62,5.166666667,6.56167979,700,7,3872000,38.72,27.726982,85.414728,3,11,3.52,1,0,0,0,0,1,0,0,1,0,1,1100000,300000, Danchhi-6 kaKathmandu,,,Kathmandu
05/25/2014,01/01/2012,28,2.333333333,6.56167979,100,1,3859000,38.59,27.731133,85.3578,2.45,8.5,4.54,1,0,0,0,0,0,1,0,1,0,1,850000,245000, 102-0988-13102-0988-14Kapan-2Kathmandu,,,Kathmandu
05/25/2014,01/01/2012,28,2.333333333,6.56167979,100,1,3857000,38.57,27.731133,85.3578,2.75,9.5,4.06,1,0,0,0,0,0,1,0,1,0,1,950000,275000, 102-0988-13102-0988-14Kapan-2Kathmandu,,,Kathmandu
05/05/2014,01/01/2012,28,2.333333333,2.624671916,500,5,3852000,38.52,27.659403,85.343087,1.8125,9,4.28,1,0,0,0,0,0,1,1,0,0,1,900000,181250, Imadol-1Lalitpur,,,Lalitpur
06/28/2015,01/01/2012,41,3.416666667,7.532808399,2000,20,3850000,38.5,27.852316,85.188514,0.48125,0.48125,80,0,1,0,0,0,0,1,0,0,1,0,48125,48125, 102-14 madanpur-9  Nuwakot,,,Nuwakot
03/01/2013,01/01/2012,14,1.166666667,7.217847769,1500,15,3845000,38.45,27.731133,85.3578,3.3,4.997562957,7.69375,0,1,0,0,0,0,1,,,," TEWS 
    ","5,00,000.00",330000," 102-0948-22, Kapan-3, Kathmandu",,,Kathmandu
08/12/2015,01/01/2012,43,3.583333333,1.312335958,2500,25,3825000,38.25,27.673376,85.403599,2,7.5,5.1,0,0,1,0,0,0,1,1,0,0,0,750000,200000, Balkot-2Bhaktapur,,,Bhaktapur
05/05/2016,01/01/2012,52,4.333333333,4.304461942,1000,10,3817000,38.17,27.768045,85.312329,3,11,3.47,1,0,0,0,0,0,1,1,0,0,0,1100000,300000, Futung-8Kathmandu,,,Kathmandu
05/07/2013,01/01/2012,16,1.333333333,4.593175853,300,3,3802500,38.025,27.624277,85.350152,3.34375,1.24989728,30.4225,0,0,0,1,0,0,1,,,, TEW,"1,25,000.00",334375," Godamchoour - 6 Kha, Lalitpur",,,Lalitpur
07/01/2016,01/01/2012,54,4.5,3.937007874,300,3,3800000,38,27.71097,85.398858,4,8,4.75,1,0,0,0,0,0,1,1,0,0,0,800000,400000,mulpani-8KhaKathmandu,,,Kathmandu
04/15/2016,01/01/2012,51,4.25,4.304461942,2500,25,3800000,38,27.851234,85.147246,1.44375,0.25,152,1,0,0,0,0,0,1,0,0,0,0,25000,144375, 102-0531/0571Belkot-1 2Nuwakot,,,Nuwakot
09/27/2015,01/01/2012,44,3.666666667,19.37007874,100,1,3787000,37.87,27.921284,85.146087,1.44375,3.5,10.82,0,1,0,0,0,1,0,1,0,0,1,350000,144375, 102-02-91Trisuli-2Nuwakot,,,Nuwakot
03/02/2016,01/01/2012,50,4.166666667,1.312335958,500,5,3780000,37.8,27.698744,85.312168,12,15,2.52,0,0,1,0,0,1,0,0,0,1,0,1500000,1200000, 102-1024-17KMC-16Kathmandu,,,Kathmandu
12/05/2013,01/01/2012,23,1.916666667,1.968503937,300,3,3780000,37.8,FAILED,FAILED,2.1,4.002647254,9.44375,1,0,0,0,0,0,1,,,,TEW,"4,00,000.00",210000," Dachi (Thalidachi)-2 ka, Kathmandu",,,Kathmandu
01/20/2016,01/01/2012,48,4,3.228346457,300,3,3768000,37.68,27.852509,85.059714,1.44375,8,4.71,0,1,0,0,0,1,0,1,0,0,0,800000,144375, 102-0564Ratmate-1Nuwakot,,,Nuwakot
08/31/2016,01/01/2012,55,4.583333333,1.312335958,1500,15,3762500,37.625,27.717245,85.323961,5.5,10.75,3.5,0,0,1,0,0,1,0,0,1,0,0,1075000,550000, 102-0946-12 Dhapashi-5Kathmandu,,,Kathmandu
28-Mar-15,01/01/2012,38,3.166666667,3.280839895,20,0.2,3750000,37.5,27.750099,85.32178,11,30,1.25,0,0,1,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",3000000,1100000,"266,kathmandu-5,Kathmandu",,,Kathmandu
16-Jun,01/01/2012,53,4.416666667,3.280839895,500,5,3750000,37.5,27.678181,85.32178,12,15,2.5,1,0,0,0,0,0,1,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1500000,1200000,"751,Kathmandu-14, Kathmandu",,,Kathmandu
06/27/2014,01/01/2012,29,2.416666667,2.952755906,300,3,3750000,37.5,27.698744,85.312168,9,15,2.5,0,1,0,0,0,0,1,1,0,0,1,1500000,900000, 102-1024-13KMC-16Kathmandu,,,Kathmandu
01/18/2016,01/01/2012,48,4,3.280839895,500,5,3750000,37.5,27.717245,85.323961,6.5,15,2.5,0,1,0,0,0,0,1,1,0,0,1,1500000,650000, 102-0945-09Dhapasi-4Kathmandu,,,Kathmandu
14-Dec,01/01/2012,35,2.916666667,4.593175853,150,1.5,3750000,37.5,27.745761,85.32178,6,15,2.5,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1500000,600000,"172,manmaiju-1 , Kathmandu",,,Kathmandu
03/01/2016,01/01/2012,50,4.166666667,8.608923885,300,3,3750000,37.5,FAILED,FAILED,1.5,7.5,5,1,0,0,0,0,0,1,1,0,0,0,750000,150000, Changunarayan-9 KaBhaktapur,,,Bhaktapur
06/29/2016,01/01/2012,53,4.416666667,4.304461942,500,5,3750000,37.5,27.766162,85.330896,2,6,6.25,1,0,0,0,0,0,1,1,0,0,0,600000,2066535, 102-0905-02 Tokha Saraswati-7Kathmandu,,,Kathmandu
08/26/2013,01/01/2012,19,1.583333333,3.937007874,500,5,3734000,37.34,FAILED,FAILED,1.8125,5.497745468,6.791875,0,1,0,0,0,0,1,,,,TEW,"5,50,000.00",181250," Tikhathali-9, Lalitpur",,,Lalitpur
03/30/2015,01/01/2012,38,3.166666667,7.217847769,150,1.5,3730000,37.3,27.694219,85.24896,3,10,3.73,0,1,0,0,0,0,1,1,0,0,0,1000000,300000, Balambu-4kaKathmandu,,,Kathmandu
03/12/2016,01/01/2012,50,4.166666667,4.304461942,500,5,3708000,37.08,27.915743,85.140631,6,12,3.09,1,0,0,0,0,1,0,0,1,0,1,1200000,2165625, 0528Bidur-9Nuwakot,,,Nuwakot
04/02/2016,01/01/2012,51,4.25,6.456692913,400,4,3705000,37.05,27.745761,85.294248,3,15,2.47,1,0,0,0,0,0,1,1,0,0,0,1500000,300000,  Goldhunga-1 KaKathmandu,,,Kathmandu
06/25/2016,01/01/2012,53,4.416666667,4.304461942,1500,15,3702500,37.025,FAILED,FAILED,2,2.5,14.81,1,0,0,0,0,0,1,0,0,1,0,250000,200000,Dandapauwa-2 ‘KaftKathmandu,,,Kathmandu
02/16/2016,01/01/2012,49,4.083333333,1,1000,10,3700000,37,FAILED,FAILED,0.5,2,18.5,0,0,0,0,0,0,0,0,0,1,0,200000,50000, Lamatar-9 khaLalitpur,,,Lalitpur
06/27/2013,01/01/2012,17,1.416666667,2.624671916,,,3700000,37,27.698744,85.312168,8,20.01352265,1.84875,0,0,0,0,1,1,0,,,," TEWS 
    ","20,00,000.00",800000," 102-1066-23, KMC-33, Kathmandu",,,Kathmandu
08/20/2013,01/01/2012,19,1.583333333,5.380577428,50,0.5,3695000,36.95,27.72666,85.288736,4,9.50329529,3.888125,0,1,0,0,0,0,1,,,," TEWS 
    ","9,50,000.00",400000," 102-1022-11, Ichangunarayan-5,6, Kathmandu",,,Kathmandu
01/16/2015,01/01/2012,36,3,4.304461942,105,1.05,3680000,36.8,27.721429,85.371726,7.7,10,3.68,1,0,0,0,0,0,1,1,0,0,1,1000000,770000, 102-1069-17Jorpati-2Kathmandu,,,Kathmandu
01/16/2015,01/01/2012,36,3,4.304461942,105,1.05,3680000,36.8,27.721429,85.371726,7,10,3.68,1,0,0,0,0,0,1,1,0,0,1,1000000,700000, 102-1069-17Jorpati-2Kathmandu,,,Kathmandu
09/19/2014,01/01/2012,32,2.666666667,3.280839895,1000,10,3680000,36.8,FAILED,FAILED,3,2.5,14.72,1,0,0,0,0,0,1,0,1,0,0,250000,300000, Kavresthali - 8 GaKathmandu,,,Kathmandu
03/19/2014,01/01/2012,26,2.166666667,3,1500,15,3669000,36.69,27.696031,85.396755,1,3.235271425,11.340625,0,0,1,0,0,0,1,,,,TEW,"3,50,000.00",100000," Nilbarahi-9 Gha, Bhaktapur",,,Bhaktapur
09/12/2016,01/01/2012,56,4.666666667,4.304461942,400,4,3618000,36.18,27.721429,85.371726,7.7,13.5,2.68,0,1,0,0,0,0,1,0,1,0,0,1350000,770000,102-1069-04 Jorpati-1Kathmandu,,,Kathmandu
04/10/2015,01/01/2012,39,3.25,6.456692913,500,5,3602550,36.0255,27.931503,85.184775,0.1375,1.41,25.55,1,0,0,0,0,0,1,0,0,1,0,141000,13750, 102-0173Tupche-2Nuwakot,,,Nuwakot
16-Mar,01/01/2012,50,4.166666667,2.624671916,500,5,3600000,36,27.712479,85.314389,14,18,2,0,0,1,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1800000,1400000,"58, Sorakhutte-16, Kathmandu",,,Kathmandu
02/06/2015,01/01/2012,37,3.083333333,4.304461942,1000,10,3600000,36,27.689223,85.28468,11,12,3,0,0,0,1,0,0,1,1,0,0,0,1200000,1100000, 102-1181-07Kathmandu,,,Kathmandu
09-May-14,01/01/2012,28,2.333333333,2.624671916,300,3,3600000,36,27.750099,FAILED,7,12,3,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1200000,700000,"585,Kathmandu-35, Kathmandu",,,Kathmandu
03/02/2015,01/01/2012,38,3.166666667,3.280839895,300,3,3600000,36,27.72298,85.373062,5,12,3,1,0,0,0,0,0,1,1,0,0,0,1200000,500000, 102-1070-07Jorpati-5Kathmandu,,,Kathmandu
18-Jan-16,01/01/2012,48,4,3.608923885,100,1,3600000,36,27.671228,85.373062,4,12,3,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1200000,400000,"253,Sitapaila-01, Kathmandu",,,Kathmandu
09/13/2016,01/01/2012,56,4.666666667,4.304461942,1500,15,3600000,36,27.659403,85.343087,3.8148,12,3,1,0,0,0,0,0,1,0,1,0,0,1200000,381480, 102-1307-02 Imadol-9Lalitpur,,,Lalitpur
14-Dec,01/01/2012,35,2.916666667,3.280839895,100,1,3600000,36,27.694394,85.310479,3,12,3,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1200000,300000,"885,  Present:- Tarkeshwor-20, Kathmandu",,,Kathmandu
16-Feb,01/01/2012,49,4.083333333,3.937007874,350,3.5,3600000,36,27.709217,85.324445,6,9,4,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",900000,600000,"117,Khadka Bhadrakali-4, Kathmandu",,,Kathmandu
14-Jul,01/01/2012,30,2.5,5.905511811,300,3,3600000,36,27.750099,85.333409,1.5,9,4,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",900000,150000,"19,Saraswati-6, Kathmandu",,,Kathmandu
26-Jun-14,01/01/2012,29,2.416666667,3.937007874,500,5,3600000,36,27.750099,FAILED,2.1,6,6,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",600000,210000,"508,dachi-8 , kathmandu",,,Kathmandu
26-Jun-14,01/01/2012,29,2.416666667,3.937007874,500,5,3600000,36,27.750099,85.324531,2.1,6,6,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",600000,210000,"509,dachi-8 , kathmandu",,,Kathmandu
06/27/2013,01/01/2012,17,1.416666667,2.624671916,200,2,3600000,36,27.689223,85.28468,9,18,2,0,1,0,0,0,1,0,,,," TEWS 
    ","18,00,000.00",900000," 102-1107-13, Kathmandu-9 Ta",,,Kathmandu
08/26/2013,01/01/2012,19,1.583333333,0.984251969,500,5,3600000,36,27.698744,85.312168,8,9,4,0,0,1,0,0,0,1,,,, TEW,"9,00,000.00",800000," 102-0985-017, 102-0985-22, KMC-3, Kathmandu",,,Kathmandu
06/14/2013,01/01/2012,17,1.416666667,3.937007874,50,0.5,3600000,36,27.698744,85.312168,5,20.02781641,1.7975,0,0,0,0,1,0,1,,,," TEWS 
    ","20,00,000.00",500000," 102-1142-05, KMC-13, Kathmandu",,,Kathmandu
04/10/2015,01/01/2012,39,3.25,4.304461942,100,1,3591000,35.91,27.86709,85.090867,0.34375,2.25,15.96,1,0,0,0,0,0,1,1,0,0,0,225000,34375, 102-0451Bidur-3Nuwakot,,,Nuwakot
04/01/2017,01/01/2012,63,5.25,4.304461942,200,2,3580000,35.8,FAILED,FAILED,1,10,3.58,1,0,0,0,0,0,1,0,1,0,0,1000000,100000, Dahachowk-1 NaKathmandu,,,Kathmandu
12/10/2013,01/01/2012,23,1.916666667,3.937007874,250,2.5,3575000,35.75,27.685837,85.271277,1,6.5,5.5,1,0,0,0,0,0,1,,,,TEW,"6,50,000.00",100000," Tinthana-2, Kathmandu",,,Kathmandu
09/05/2013,01/01/2012,20,1.666666667,2.152230971,,,3573000,35.73,27.731133,85.3578,1.9,8.992921189,3.973125,1,0,0,0,0,1,0,,,," TEWS 
    ","9,00,000.00",190000," 102-0989-11, Kapan-8, Kathmandu",,,Kathmandu
10/24/2013,01/01/2012,21,1.75,2.624671916,400,4,3570000,35.7,27.698744,85.312168,7.15,10.00876117,3.566875,1,0,0,0,0,0,1,,,," TEWS 
    ","10,00,000.00",715000," 102-1028-08, KMC-1, Kathmandu",,,Kathmandu
06/05/2015,01/01/2012,41,3.416666667,9.842519685,200,2,3550000,35.5,27.874362,85.263948,0.825,1.25,28.4,0,0,0,1,0,0,1,0,0,1,1,125000,82500, 102-0459Thansing-5Nuwakot,,,Nuwakot
11/27/2015,01/01/2012,46,3.833333333,4.304461942,500,5,3539250,35.3925,27.760339,85.300696,3,8.25,4.29,1,0,0,0,0,0,1,0,1,0,0,825000,300000, Dharmasthali-3GaKathmandu,,,Kathmandu
10/04/2015,01/01/2012,45,3.75,4.304461942,180,1.8,3520000,35.2,27.698744,85.312168,7,10,3.52,0,0,0,0,1,1,0,0,0,1,1,1000000,700000, 102-1067-13KMC-7Kathmandu,,,Kathmandu
01/10/2016,01/01/2012,48,4,1.312335958,50,0.5,3500000,35,FAILED,FAILED,2.5,10,3.5,0,0,1,0,0,0,1,0,1,0,0,1000000,250000, 102-0944-24Manamiju-5Kathmandu,,,Kathmandu
16-May,01/01/2012,52,4.333333333,2.296587927,400,4,3500000,35,27.685093,85.3331857,2.25,8,4.375,0,1,0,0,0,0,1,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",800000,225000,"1049,Kirtipur-11, Kathmandu",,,Kathmandu
12/11/2014,01/01/2012,35,2.916666667,3.937007874,500,5,3500000,35,27.700954,85.274834,0.9,7,5,1,0,0,0,0,0,1,0,0,1,0,700000,90000, Syuchatar-5Kathmandu,,,Kathmandu
11/08/2012,01/01/2012,10,0.833333333,3.937007874,300,3,3500000,35,27.703872,85.380004,4.1,7,5,1,0,0,0,0,0,1,,,, TEWS,"7,00,000.00",410000," Gothatar 5,6, Kathmandu",,,Kathmandu
09/01/2014,01/01/2012,32,2.666666667,2.624671916,200,2,3498000,34.98,27.703872,85.380004,4,6,5.83,1,0,0,0,0,0,1,1,0,0,0,600000,400000, 102-1110-13Gothatar-45Kathmandu,,,Kathmandu
04/17/2014,01/01/2012,27,2.25,1.312335958,200,2,3490500,34.905,27.685093,85.324268,2.75,6.5,5.37,0,0,1,0,0,0,1,0,0,1,1,650000,275000, 102-1028-07Kathmandu-6 Cha 1,,,Kathmandu
10/10/2014,01/01/2012,33,2.75,6.456692913,105,1.05,3465000,34.65,27.698744,85.312168,10,45,0.77,0,1,0,0,0,0,1,0,0,1,1,4500000,1000000, 102-1067-12KMC-7Kathmandu,,,Kathmandu
12/29/2015,01/01/2012,47,3.916666667,0.984251969,50,0.5,3450000,34.5,FAILED,FAILED,0.5,2.5,13.8,0,0,1,0,0,0,1,0,0,1,0,250000,50000, Tathali-6 Ka-2Bhaktapur,,,Bhaktapur
14-Dec,01/01/2012,35,2.916666667,6.56167979,105,1.05,3430000,34.3,27.72298,85.351152,4,7,4.9,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",700000,400000,"290,Balaju-8 , Kathmandu",,,Kathmandu
10/08/2014,01/01/2012,33,2.75,1.312335958,200,2,3400000,34,27.731133,85.3578,7,8,4.25,0,0,1,0,0,0,1,1,0,0,0,800000,700000, 102-1027-05Kapan-3Kathmandu,,,Kathmandu
16-Jul,01/01/2012,54,4.5,15.0656168,1200,12,3400000,34,27.660213,85.574496,1.5,8,4.25,1,0,0,0,0,0,1,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",800000,150000,"497,Chandragirimunicipality-11, Kathmandu ",,,Kathmandu
08/06/2014,01/01/2012,31,2.583333333,3.937007874,105,1.05,3390000,33.9,27.728781,85.435352,5,10,3.39,0,1,0,0,0,0,1,0,1,0,1,1000000,500000, 102-1021-25Ichangunarayan-4Kathmandu,,,Kathmandu
02/18/2015,01/01/2012,37,3.083333333,2.624671916,60,0.6,3380000,33.8,27.689223,85.28468,8,13,2.6,0,0,1,0,0,1,0,1,0,0,0,1300000,800000, 102-1187-Kathmandu,,,Kathmandu
01/27/2015,01/01/2012,36,3,7.532808399,100,1,3375000,33.75,27.698744,85.312168,14,25,1.35,0,1,0,0,0,1,0,1,0,0,1,2500000,1400000, 102-1024-08KMC-16Kathmandu,,,Kathmandu
11/23/2012,01/01/2012,10,0.833333333,3.280839895,100,1,3357000,33.57,27.708823,85.385312,4.1,9.004526404,3.728125,1,0,0,0,0,0,1,,,," TEWS 
    ","9,00,000.00",410000," Gothatar -8,  Kathmandu",,,Kathmandu
01/13/2013,01/01/2012,12,1,3.280839895,100,1,3357000,33.57,27.708823,85.385312,4.1,9.004526404,3.728125,1,0,0,0,0,0,1,,,," TEWS 
    ","9,00,000.00",410000," Gothatar -8,  Kathmandu",,,Kathmandu
16-Mar,01/01/2012,50,4.166666667,4.265091864,400,4,3346875,33.46875,27.705803,85.331304,3.5,3.5,9.5625,1,0,0,0,0,0,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",350000,350000,"172,Sainbu-1  , Lalitpur",,,Lalitpur
06/12/2014,01/01/2012,29,2.416666667,4.304461942,200,2,3333000,33.33,27.672042,85.388695,2,11,3.03,1,0,0,0,0,0,1,1,0,0,0,1100000,200000, Balkumari-9Bhaktapur,,,Bhaktapur
01/04/2016,01/01/2012,48,4,3.937007874,300,3,3325000,33.25,27.71097,85.398858,4,7,4.75,1,0,0,0,0,0,1,1,0,0,0,700000,400000,mulpani -8KhaKathmandu,,,Kathmandu
04/20/2016,01/01/2012,51,4.25,1,700,7,3312750,33.1275,27.733477,85.315052,0.35,1.75,18.93,0,0,0,0,0,0,1,1,0,0,0,175000,35000, Chandeshwori-1ftKaftKathmandu,,,Kathmandu
04/15/2014,01/01/2012,27,2.25,3.280839895,500,5,3303000,33.03,27.733477,85.315052,7,9,3.67,1,0,0,0,0,0,1,1,0,0,1,900000,700000, Sinamangal-1 KaKathmandu,,,Kathmandu
10/22/2014,01/01/2012,33,2.75,0.984251969,1000,10,3300000,33,27.653385,85.305804,1.125,5.5,6,0,0,1,0,0,0,1,0,1,0,0,550000,112500, Sainbu Bhainsepati-3 kaLalitpur,,,Lalitpur
08/11/2013,01/01/2012,19,1.583333333,1.312335958,30,0.3,3300000,33,27.698744,85.312168,2.75,12,2.75,0,0,1,0,0,0,1,,,," TEWS 
    ","12,00,000.00",275000," 102-1067-04, KMC-7, Kathmandu",,,Kathmandu
03/02/2016,01/01/2012,50,4.166666667,6.456692913,2000,20,3287500,32.875,27.915743,85.140631,3.60935,0.5,65.75,1,0,0,0,0,0,1,0,0,1,0,50000,360935, 102-0412Bidur-4Nuwakot,,,Nuwakot
11/28/2014,01/01/2012,34,2.833333333,4.304461942,200,2,3285000,32.85,27.709588,85.306486,3,7.3,4.5,1,0,0,0,0,0,1,0,0,1,0,730000,300000, Dharmasthali-6 gaKathmandu,,,Kathmandu
04/15/2015,01/01/2012,39,3.25,2.624671916,500,5,3270000,32.7,27.717245,85.323961,5,10,3.27,1,0,0,0,0,0,1,1,0,0,1,1000000,500000, 102-0945-15Dhapasi-6Kathmandu,,,Kathmandu
01/15/2016,01/01/2012,48,4,3.280839895,400,4,3250000,32.5,27.71097,85.398858,4,10,3.25,1,0,0,0,0,0,1,1,0,0,0,1000000,400000,mulpani-3KhaKathmandu,,,Kathmandu
07/21/2014,01/01/2012,30,2.5,5.380577428,200,2,3250000,32.5,27.728781,85.380004,4,6.5,5,1,0,0,0,0,0,1,1,0,0,0,650000,400000, 102-1069-15Gothatar 23Kathmandu,,,Kathmandu
16-Jun,01/01/2012,53,4.416666667,3.937007874,1750,17.5,3250000,32.5,27.653385,85.32178,2.25,6.5,5,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",650000,225000,"289,Bahirigaon-8, Kathmandu",,,Kathmandu
07/28/2015,01/01/2012,42,3.5,2.624671916,2500,25,3250000,32.5,27.699094,85.263192,1,2.5,13,0,0,1,0,0,0,1,0,0,1,0,250000,100000, Purano Naikap-7Kathmandu,,,Kathmandu
11/30/2012,01/01/2012,10,0.833333333,3.280839895,300,3,3248000,32.48,27.745761,85.294248,1.4,7.001886284,4.63875,0,1,0,0,0,0,1,,,," TEWS 
    ","7,00,000.00",140000," Goldhunga - 1 Kha, Kathmandu",,,Kathmandu
09/23/2016,01/01/2012,56,4.666666667,4.304461942,200,2,3220800,32.208,FAILED,FAILED,3,8.8,3.66,1,0,0,0,0,0,1,1,0,0,0,880000,300000, Chandreshori-2KhaKathmandu,,,Kathmandu
01/16/2013,01/01/2012,12,1,6.456692913,,,3211000,32.11,27.698744,85.312168,6,13.00658228,2.46875,0,1,0,0,0,1,0,,,," TEWS 
    ","13,00,000.00",600000," 102-1149-06, KMC-35, Kathmandu",,,Kathmandu
03/14/2016,01/01/2012,50,4.166666667,0.984251969,150,1.5,3209250,32.0925,27.703872,85.380004,5.5,8.25,3.89,0,0,1,0,0,0,1,1,0,0,0,825000,550000,102-1149-02Gothatar-8Kathmandu,,,Kathmandu
15-Dec,01/01/2012,47,3.916666667,3.937007874,350,3.5,3206250,32.0625,27.660213,85.339706,2,9,3.5625,1,0,0,0,0,0,1,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",900000,200000,"667,Thankotmahadevsthan - 3, Kathmandu",,,Kathmandu
02/08/2015,01/01/2012,37,3.083333333,3.937007874,1000,10,3202500,32.025,27.698744,85.312168,4,10.5,3.05,1,0,0,0,0,0,1,1,0,0,1,1050000,400000, 102-1101-22KMC-14Kathmandu,,,Kathmandu
01/01/2015,01/01/2012,36,3,0.984251969,2500,25,3200000,32,27.708394,FAILED,0.5,2,16,0,0,1,0,0,0,0,0,0,1,0,200000,50000, Lubhu-8 GhaLalitpur,,,Lalitpur
08/30/2013,01/01/2012,19,1.583333333,3.937007874,1200,12,3200000,32,27.657501,85.38843,1.75,8,4,0,0,0,1,0,0,1,,,," TEWS 
    ","8,00,000.00",175000," Dadhikot-2, Bhaktapur",,,Bhaktapur
24-Jul-14,01/01/2012,30,2.5,3.608923885,300,3,3190000,31.9,FAILED,85.380004,2.5,10,3.19,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1000000,250000,"94&104,Ichangunarayan-9, Kathmandu",,,Kathmandu
12/07/2015,01/01/2012,47,3.916666667,4.304461942,300,3,3176000,31.76,FAILED,FAILED,4,8,3.97,0,1,0,0,0,0,1,0,0,0,1,800000,400000, Goldhunga-1/KhaKathmandu,,,Kathmandu
06/01/2014,01/01/2012,29,2.416666667,5.380577428,300,3,3150000,31.5,FAILED,FAILED,4.1,15,2.1,0,1,0,0,0,0,1,0,1,0,0,1500000,410000, Bishnu Gaun-9 ka-2Kathmandu,,,Kathmandu
16-Mar,01/01/2012,50,4.166666667,4.265091864,400,4,3150000,31.5,27.653385,85.305804,3.5,6,5.25,1,0,0,0,0,0,1,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",600000,350000,"172,Sainbu-1  , Lalitpur",,,Lalitpur
01/20/2016,01/01/2012,48,4,6.456692913,500,5,3150000,31.5,27.780104,85.282513,1.5,1.5,21,0,0,0,1,0,0,1,0,0,1,0,150000,150000, Jitpur-3 KaKathmandu,,,Kathmandu
04/10/2015,01/01/2012,39,3.25,6.456692913,500,5,3147120,31.4712,27.931503,85.184775,0.1375,1.41,22.32,1,0,0,0,0,0,1,0,0,1,1,141000,13750, 102-0173Tupche-2Nuwakot,,,Nuwakot
