Date of Valuation,Base date,date(m),Year,Road_width,LocationAccess,Location_Access,Commercialprice,Commercial-price,Latitude,Longitude,Governmentrate,Commercial-rate,Area,Earthen,Pitch,Goreto,Gravelled,paved,Commercial,Residential,Rectangular,Trapezoidal,Irregular,Facilities,Commercial-rate,Government-rate,Location as per cadastralmap,,,Places
03/30/2014,01/01/2012,26,2.166666667,3.280839895,300,3,13200000,132,27.698744,85.312168,10,20.0113701,6.59625,0,1,0,0,0,0,1,,,," TEWS 
    ","20,00,000.00",1000000," 102-1106-21, KMC-32, Kathmandu",,,Kathmandu
03/06/2017,01/01/2012,62,5.166666667,4.304461942,200,2,13140000,131.4,27.698744,85.312168,9,30,4.38,0,1,0,0,0,1,0,0,0,1,1,3000000,900000, 102/1186/13  KMC-10Kathmandu,,,Kathmandu
16-Feb,01/01/2012,49,4.083333333,8.202099738,400,4,13050000,130.5,27.707409,FAILED,0.5,0.87,150,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",87000,50000,"179&180,Chhaimale-6 Ga, Kathmandu",,,Kathmandu
02/03/2015,01/01/2012,37,3.083333333,4.304461942,200,2,13000000,130,27.759813,85.28518,3,5,26,1,0,0,0,0,0,1,0,0,1,0,500000,300000, Goldhunga 1KhaKathmandu,,,Kathmandu
03/01/2017,01/01/2012,62,5.166666667,4.304461942,2500,25,12855000,128.55,27.751323,85.445395,1.5,5,25.71,1,0,0,0,0,0,1,0,0,1,1,500000,150000, Gagalfedi-8Kathmandu,,,Kathmandu
15-Oct,01/01/2012,45,3.75,3.937007874,200,2,12800000,128,FAILED,85.357304,5,8,16,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",800000,500000,"134,Kathmandu-6, Kathmandu",,,Kathmandu
11/03/2012,01/01/2012,10,0.833333333,4.593175853,200,2,12800000,128,FAILED,FAILED,0.5,4,32,0,0,1,0,0,0,1,,,, TEW,"4,00,000.00",50000," Goldhunga 1ga, Kathmandu",,,Kathmandu
16-Jul,01/01/2012,54,4.5,4.593175853,1000,10,12796875,127.96875,27.709217,85.245685,1.5,22.5,5.6875,1,0,0,0,0,0,1,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",225000,150000,"133,Macchegaun-9 , Kathmandu",,,Kathmandu
06/07/2016,01/01/2012,53,4.416666667,4.304461942,200,2,12461000,124.61,FAILED,FAILED,3,8.5,14.66,1,0,0,0,0,1,0,0,0,1,0,850000,300000, Danchi-9 ‘khaftKathmandu,,,Kathmandu
12/01/2013,01/01/2012,23,1.916666667,21.65354331,500,5,12450000,124.5,27.78902,85.331304,8,30.00903887,4.14875,0,1,0,0,0,1,0,,,,TEW,"30,00,000.00",800000," 102-1106-10, Kathmandu-9 Nga",,,Kathmandu
16-Feb,01/01/2012,49,4.083333333,8.202099738,400,4,12390000,123.9,27.709217,85.314321,0.5,0.6,206.5,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",60000,50000,"126,125&25,Chhaimale-6 Ga, Kathmandu",,,Kathmandu
16-Mar,01/01/2012,50,4.166666667,3.280839895,100,1,12343750,123.4375,27.686942,85.307444,18,25,4.9375,1,0,0,0,0,0,1,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",2500000,1800000,"391, 497, 314, Kathmandu-7, Kathmandu",,,Kathmandu
09/04/2016,01/01/2012,56,4.666666667,4.304461942,100,1,12340000,123.4,27.698744,85.312168,13,20,6.17,0,1,0,0,0,0,1,0,1,0,0,2000000,1300000, 102-0946-24KMC-3Kathmandu,,,Kathmandu
10/09/2014,01/01/2012,33,2.75,3.280839895,30,0.3,12256000,122.56,27.731133,85.3578,7,16,7.66,0,1,0,0,0,0,1,1,0,0,1,1600000,700000, 102-0987-24/25Kapan-3Kathmandu,,,Kathmandu
